feature,coef_true,tau_placebo,selected
deutschland,-0.0,0.0,False
devil,-0.0,0.0,False
devine,0.0,0.0,False
devoted,-0.0,0.0,False
didst,-0.0,0.0,False
different,-0.0,0.0032123904518385213,False
difficult,-0.0,0.0,False
dignified,0.0,0.023200221962828945,False
diligent,0.0,0.0,False
diligently,0.0,0.0,False
dim,-0.0,0.0,False
diminutive,-0.0,0.0,False
dimple,0.0,0.0,False
dimpled,-0.0,0.0,False
dinsmore,-0.0,0.0,False
diplomatic,0.0,0.0,False
dire,0.0,0.0,False
direct,-0.0,0.0,False
directly,-0.0,0.0,False
disastrously,-0.0,0.0,False
discordant,-0.0,0.0,False
discouraged,0.0,0.0,False
discreet,-0.0,0.0,False
discreetest,-0.0,0.0,False
discriminating,-0.0,0.0,False
disinclined,-0.0,0.0,False
disposed,-0.0,0.0,False
distant,-0.0,0.0,False
distinctive,0.0,0.0,False
distinctively,-0.0,0.0,False
distinctly,-0.0,0.0,False
distinguished,-0.0,0.0,False
distressed,0.0,0.0,False
divided,0.0,0.0,False
divine,0.0,0.0,False
divinely,0.0,0.0,False
diz,0.0,0.0,False
dizzy,-0.0,0.0,False
docile,-0.0,0.0,False
doesn't,0.0,0.0,False
dolly,0.0,0.0,False
domestic,-0.0,0.026928288741683865,False
domineering,-0.0,0.0,False
dorn,-0.0,0.0,False
double,-0.0,0.0,False
doubly,0.0,0.0,False
doubt,-0.09700210998549837,0.07991525025524002,True
doubtful,-0.0,0.0,False
doubtless,-0.0,0.0,False
downhearted,-0.0,0.0,False
drawly,-0.0,0.0,False
dray,-0.0,0.0,False
dreadfully,-0.0,0.0,False
dreamy,0.0,0.0,False
dreary,0.0,0.0,False
dry,0.08954887581028186,0.024832343506813688,True
dual,-0.0,0.0,False
dull,-0.0,0.0,False
dumb,0.0,0.0,False
dummy,-0.0,0.0,False
dutch,-0.0,0.06038879038323599,False
e.g.,-0.0,0.0,False
earlier,-0.0,0.0,False
early,-0.10508156888392295,0.09586191047053876,True
earnest,-0.016326747748498346,0.09588464228152667,False
earnestly,-0.0,0.0,False
earthly,0.0,0.0,False
easiest,-0.0,0.0,False
easily,-0.026756931753418162,0.09772745219646846,False
east,0.0,0.0,False
eastern,-0.0,0.0,False
easy,0.0,0.09175890343590083,False
easygoing,-0.0,0.0,False
eccentric,-0.0,0.0,False
ecclesiastical,-0.0,0.0,False
ed,-0.0,0.0,False
eddie,-0.0,0.0,False
educational,0.0,0.0,False
effective,-0.0,0.0,False
efficient,0.0,0.030098393960824046,False
efficiently,-0.0,0.0,False
elastic,0.0,0.0,False
elderly,-0.0,0.0,False
electric,-0.0,0.0,False
electrical,-0.0,0.07261699961110828,False
eligible,-0.0,0.0,False
eloquent,0.0,0.0,False
elsie,0.0,0.0,False
elusive,-0.0,0.0,False
embarrassed,0.0,0.0,False
embryonic,-0.0,0.0,False
eminent,-0.0,0.0,False
emphatic,-0.0,0.0,False
emphatically,-0.0,0.0,False
empirical,-0.0,0.0,False
endurable,0.0,0.0,False
energetic,-0.07652843528181105,0.08068283516652545,False
engaged,0.0,0.0,False
english,-0.055417548723809315,0.09616285246292627,False
enormous,-0.0,0.0,False
enthusiastic,0.0,0.09480869330068907,False
entire,-0.0,0.0,False
entirely,-0.0,0.0,False
enviable,-0.0,0.0,False
equal,-0.0,0.08943595569989186,False
equally,-0.0,0.02555623228093146,False
erratic,-0.0,0.0,False
especial,-0.0,0.0,False
especially,0.021135874470212198,0.09340901660627449,False
essay,-0.0,0.0,False
eternal,-0.0,0.0,False
evenly,-0.0,0.0,False
eventful,-0.0,0.0,False
everlasting,-0.0,0.0,False
evermore,-0.0,0.0,False
everyday,0.0,0.0,False
evident,-0.0,0.0,False
evidently,-0.017780829361665276,0.0821342827409413,False
